Time:1445470 || State: START!
Time:1445480 || State: START!
Time:1445490 || State: START!
Time:1445500 || State: START!
Time:1445510 || State: START!
Time:1445520 || State: START!
Time:1445530 || State: START!
Time:1445540 || State: START!
Time:1445550 || State: START!
Time:1445560 || State: START!
Time:1445570 || State: START!
Time:1445580 || State: START!
Time:1445590 || State: START!
Time:1445600 || State: START!
Time:1445610 || State: START!
Time:1445620 || State: START!
Time:1445630 || State: START!
Time:1445640 || State: START!
Time:1445650 || State: START!
Time:1445660 || State: START!
Time:1445670 || State: START!
Time:1445680 || State: START!
Time:1445690 || State: START!
Time:1445700 || State: START!
Time:1445710 || State: START!
Time:1445720 || State: START!
Time:1445730 || State: START!
Time:1445740 || State: START!
Time:1445750 || State: START!
Time:1445760 || State: START!
Time:1445770 || State: START!
Time:1445780 || State: START!
Time:1445790 || State: START!
Time:1445800 || State: START!
Time:1445810 || State: START!
Time:1445820 || State: START!
Time:1445830 || State: START!
Time:1445840 || State: START!
Time:1445850 || State: START!
Time:1445860 || State: START!
Time:1445870 || State: START!
Time:1445880 || State: START!
Time:1445890 || State: START!
Time:1445900 || State: START!
Time:1445910 || State: START!
Time:1445920 || State: START!
Time:1445930 || State: START!
Time:1445940 || State: START!
Time:1445950 || State: START!
Time:1445960 || State: START!
Time:1445970 || State: START!
Time:1445980 || State: START!
Time:1445990 || State: START!
Time:1446000 || State: START!
Time:1446010 || State: START!
Time:1446020 || State: AFTER_LIFTOFF
Time:1446030 || State: AFTER_LIFTOFF
Time:1446040 || State: AFTER_LIFTOFF
Time:1446050 || State: AFTER_LIFTOFF
Time:1446060 || State: AFTER_LIFTOFF
Time:1446070 || State: AFTER_LIFTOFF
Time:1446080 || State: AFTER_LIFTOFF
Time:1446090 || State: AFTER_LIFTOFF
Time:1446100 || State: AFTER_LIFTOFF
Time:1446110 || State: AFTER_LIFTOFF
Time:1446120 || State: AFTER_LIFTOFF
Time:1446130 || State: AFTER_LIFTOFF
Time:1446140 || State: AFTER_LIFTOFF
Time:1446150 || State: AFTER_LIFTOFF
Time:1446160 || State: AFTER_LIFTOFF
Time:1446170 || State: AFTER_LIFTOFF
Time:1446180 || State: AFTER_LIFTOFF
Time:1446190 || State: AFTER_LIFTOFF
Time:1446200 || State: AFTER_LIFTOFF
Time:1446210 || State: AFTER_LIFTOFF
Time:1446220 || State: AFTER_LIFTOFF
Time:1446230 || State: AFTER_LIFTOFF
Time:1446240 || State: AFTER_LIFTOFF
Time:1446250 || State: AFTER_LIFTOFF
Time:1446260 || State: AFTER_LIFTOFF
Time:1446270 || State: AFTER_LIFTOFF
Time:1446280 || State: AFTER_LIFTOFF
Time:1446290 || State: AFTER_LIFTOFF
Time:1446300 || State: AFTER_LIFTOFF
Time:1446310 || State: AFTER_LIFTOFF
Time:1446320 || State: AFTER_LIFTOFF
Time:1446330 || State: AFTER_LIFTOFF
Time:1446340 || State: AFTER_LIFTOFF
Time:1446350 || State: AFTER_LIFTOFF
Time:1446360 || State: AFTER_LIFTOFF
Time:1446370 || State: AFTER_LIFTOFF
Time:1446380 || State: AFTER_LIFTOFF
Time:1446390 || State: AFTER_LIFTOFF
Time:1446400 || State: AFTER_LIFTOFF
Time:1446410 || State: AFTER_LIFTOFF
Time:1446430 || State: AFTER_LIFTOFF
Time:1446440 || State: AFTER_LIFTOFF
Time:1446450 || State: AFTER_LIFTOFF
Time:1446460 || State: AFTER_LIFTOFF
Time:1446470 || State: AFTER_LIFTOFF
Time:1446480 || State: AFTER_LIFTOFF
Time:1446490 || State: AFTER_LIFTOFF
Time:1446500 || State: AFTER_LIFTOFF
Time:1446510 || State: AFTER_LIFTOFF
Time:1446520 || State: AFTER_LIFTOFF
Time:1446530 || State: AFTER_LIFTOFF
Time:1446540 || State: AFTER_LIFTOFF
Time:1446550 || State: AFTER_LIFTOFF
Time:1446560 || State: AFTER_LIFTOFF
Time:1446570 || State: AFTER_LIFTOFF
Time:1446580 || State: AFTER_LIFTOFF
Time:1446590 || State: AFTER_LIFTOFF
Time:1446600 || State: AFTER_LIFTOFF
Time:1446610 || State: AFTER_LIFTOFF
Time:1446620 || State: AFTER_LIFTOFF
Time:1446630 || State: AFTER_LIFTOFF
Time:1446640 || State: AFTER_LIFTOFF
Time:1446650 || State: AFTER_LIFTOFF
Time:1446660 || State: AFTER_LIFTOFF
Time:1446670 || State: AFTER_LIFTOFF
Time:1446680 || State: AFTER_LIFTOFF
Time:1446690 || State: AFTER_LIFTOFF
Time:1446700 || State: AFTER_LIFTOFF
Time:1446710 || State: AFTER_LIFTOFF
Time:1446720 || State: AFTER_LIFTOFF
Time:1446730 || State: AFTER_LIFTOFF
Time:1446740 || State: AFTER_LIFTOFF
Time:1446750 || State: AFTER_LIFTOFF
Time:1446760 || State: AFTER_LIFTOFF
Time:1446770 || State: AFTER_LIFTOFF
Time:1446780 || State: AFTER_LIFTOFF
Time:1446790 || State: AFTER_LIFTOFF
Time:1446800 || State: AFTER_LIFTOFF
Time:1446810 || State: AFTER_LIFTOFF
Time:1446820 || State: AFTER_LIFTOFF
Time:1446830 || State: AFTER_LIFTOFF
Time:1446840 || State: AFTER_LIFTOFF
Time:1446850 || State: AFTER_LIFTOFF
Time:1446860 || State: AFTER_LIFTOFF
Time:1446870 || State: AFTER_LIFTOFF
Time:1446880 || State: AFTER_LIFTOFF
Time:1446890 || State: AFTER_LIFTOFF
Time:1446900 || State: AFTER_LIFTOFF
Time:1446910 || State: AFTER_LIFTOFF
Time:1446920 || State: AFTER_LIFTOFF
Time:1446930 || State: AFTER_LIFTOFF
Time:1446940 || State: AFTER_LIFTOFF
Time:1446950 || State: AFTER_LIFTOFF
Time:1446960 || State: AFTER_LIFTOFF
Time:1446970 || State: AFTER_LIFTOFF
Time:1446980 || State: AFTER_LIFTOFF
Time:1446990 || State: AFTER_LIFTOFF
Time:1447000 || State: AFTER_LIFTOFF
Time:1447010 || State: AFTER_LIFTOFF
Time:1447020 || State: AFTER_LIFTOFF
Time:1447030 || State: AFTER_LIFTOFF
Time:1447040 || State: AFTER_LIFTOFF
Time:1447050 || State: AFTER_LIFTOFF
Time:1447060 || State: AFTER_LIFTOFF
Time:1447070 || State: AFTER_LIFTOFF
Time:1447080 || State: AFTER_LIFTOFF
Time:1447090 || State: AFTER_LIFTOFF
Time:1447100 || State: AFTER_LIFTOFF
Time:1447110 || State: AFTER_LIFTOFF
Time:1447120 || State: AFTER_LIFTOFF
Time:1447130 || State: AFTER_LIFTOFF
Time:1447140 || State: AFTER_LIFTOFF
Time:1447150 || State: AFTER_LIFTOFF
Time:1447160 || State: AFTER_LIFTOFF
Time:1447170 || State: AFTER_LIFTOFF
Time:1447180 || State: AFTER_LIFTOFF
Time:1447190 || State: AFTER_LIFTOFF
Time:1447200 || State: AFTER_LIFTOFF
Time:1447210 || State: AFTER_LIFTOFF
Time:1447220 || State: AFTER_LIFTOFF
Time:1447230 || State: AFTER_LIFTOFF
Time:1447240 || State: AFTER_LIFTOFF
Time:1447250 || State: AFTER_LIFTOFF
Time:1447260 || State: AFTER_LIFTOFF
Time:1447270 || State: AFTER_LIFTOFF
Time:1447280 || State: AFTER_LIFTOFF
Time:1447290 || State: AFTER_LIFTOFF
Time:1447300 || State: AFTER_LIFTOFF
Time:1447310 || State: AFTER_LIFTOFF
Time:1447320 || State: AFTER_LIFTOFF
Time:1447330 || State: AFTER_LIFTOFF
Time:1447340 || State: AFTER_LIFTOFF
Time:1447350 || State: AFTER_LIFTOFF
Time:1447360 || State: AFTER_LIFTOFF
Time:1447370 || State: AFTER_LIFTOFF
Time:1447380 || State: AFTER_LIFTOFF
Time:1447390 || State: AFTER_LIFTOFF
Time:1447400 || State: AFTER_LIFTOFF
Time:1447410 || State: AFTER_LIFTOFF
Time:1447420 || State: AFTER_LIFTOFF
Time:1447430 || State: AFTER_LIFTOFF
Time:1447440 || State: AFTER_LIFTOFF
Time:1447450 || State: AFTER_LIFTOFF
Time:1447460 || State: AFTER_LIFTOFF
Time:1447470 || State: AFTER_LIFTOFF
Time:1447480 || State: AFTER_LIFTOFF
Time:1447490 || State: AFTER_LIFTOFF
Time:1447500 || State: AFTER_LIFTOFF
Time:1447510 || State: AFTER_LIFTOFF
Time:1447520 || State: AFTER_LIFTOFF
Time:1447530 || State: AFTER_LIFTOFF
Time:1447540 || State: AFTER_LIFTOFF
Time:1447550 || State: AFTER_LIFTOFF
Time:1447560 || State: AFTER_LIFTOFF
Time:1447570 || State: AFTER_LIFTOFF
Time:1447580 || State: AFTER_LIFTOFF
Time:1447590 || State: AFTER_LIFTOFF
Time:1447600 || State: AFTER_LIFTOFF
Time:1447610 || State: AFTER_LIFTOFF
Time:1447620 || State: AFTER_LIFTOFF
Time:1447630 || State: AFTER_LIFTOFF
Time:1447640 || State: AFTER_LIFTOFF
Time:1447650 || State: AFTER_LIFTOFF
Time:1447660 || State: AFTER_LIFTOFF
Time:1447670 || State: AFTER_LIFTOFF
Time:1447680 || State: AFTER_LIFTOFF
Time:1447690 || State: AFTER_LIFTOFF
Time:1447700 || State: AFTER_LIFTOFF
Time:1447710 || State: AFTER_LIFTOFF
Time:1447720 || State: AFTER_LIFTOFF
Time:1447730 || State: AFTER_LIFTOFF
Time:1447740 || State: AFTER_LIFTOFF
Time:1447750 || State: AFTER_LIFTOFF
Time:1447760 || State: AFTER_LIFTOFF
Time:1447770 || State: AFTER_LIFTOFF
Time:1447780 || State: AFTER_LIFTOFF
Time:1447790 || State: AFTER_LIFTOFF
Time:1447800 || State: AFTER_LIFTOFF
Time:1447810 || State: AFTER_LIFTOFF
Time:1447820 || State: AFTER_LIFTOFF
Time:1447830 || State: AFTER_LIFTOFF
Time:1447840 || State: AFTER_LIFTOFF
Time:1447850 || State: AFTER_LIFTOFF
Time:1447860 || State: AFTER_LIFTOFF
Time:1447870 || State: AFTER_LIFTOFF
Time:1447880 || State: AFTER_LIFTOFF
Time:1447890 || State: AFTER_LIFTOFF
Time:1447900 || State: AFTER_LIFTOFF
Time:1447910 || State: AFTER_LIFTOFF
Time:1447920 || State: AFTER_LIFTOFF
Time:1447930 || State: AFTER_LIFTOFF
Time:1447940 || State: AFTER_LIFTOFF
Time:1447950 || State: AFTER_LIFTOFF
Time:1447960 || State: AFTER_LIFTOFF
Time:1447970 || State: AFTER_LIFTOFF
Time:1447980 || State: AFTER_LIFTOFF
Time:1447990 || State: AFTER_LIFTOFF
Time:1448000 || State: AFTER_LIFTOFF
Time:1448010 || State: AFTER_LIFTOFF
Time:1448020 || State: AFTER_LIFTOFF
Time:1448030 || State: AFTER_LIFTOFF
Time:1448040 || State: AFTER_LIFTOFF
Time:1448050 || State: AFTER_LIFTOFF
Time:1448060 || State: AFTER_LIFTOFF
Time:1448070 || State: AFTER_LIFTOFF
Time:1448080 || State: AFTER_LIFTOFF
Time:1448090 || State: AFTER_LIFTOFF
Time:1448100 || State: AFTER_LIFTOFF
Time:1448110 || State: AFTER_LIFTOFF
Time:1448120 || State: AFTER_LIFTOFF
Time:1448130 || State: AFTER_LIFTOFF
Time:1448140 || State: AFTER_LIFTOFF
Time:1448150 || State: AFTER_LIFTOFF
Time:1448160 || State: AFTER_LIFTOFF
Time:1448170 || State: AFTER_LIFTOFF
Time:1448180 || State: AFTER_LIFTOFF
Time:1448190 || State: AFTER_LIFTOFF
Time:1448200 || State: AFTER_LIFTOFF
Time:1448210 || State: AFTER_LIFTOFF
Time:1448220 || State: AFTER_LIFTOFF
Time:1448230 || State: AFTER_LIFTOFF
Time:1448240 || State: AFTER_LIFTOFF
Time:1448250 || State: AFTER_LIFTOFF
